,close,Stage
1995-01-06,247.5,
1995-01-13,236.25,bad sector
1995-01-20,243.75,bad sector
1995-01-27,243.75,bad sector
1995-02-03,255.0,bad sector
1995-02-10,240.0,bad sector
1995-02-17,247.5,bad sector
1995-02-24,262.5,bad sector
1995-03-03,360.0,bad sector
1995-03-10,382.5,bad sector
1995-03-17,386.25,bad sector
1995-03-24,390.0,bad sector
1995-03-31,397.5,bad sector
1995-04-07,390.0,bad sector
1995-04-21,395.625,bad sector
1995-04-28,382.5,bad sector
1995-05-05,371.25,bad sector
1995-05-12,307.5,bad sector
1995-05-19,352.5,bad sector
1995-05-26,330.0,bad sector
1995-06-02,315.0,bad sector
1995-06-09,315.0,bad sector
1995-06-16,322.5,bad sector
1995-06-23,270.0,bad sector
1995-06-30,285.0,bad sector
1995-07-07,292.5,bad sector
1995-07-14,273.75,bad sector
1995-07-21,255.0,bad sector
1995-07-28,307.5,bad sector
1995-08-04,270.0,bad sector
1995-08-11,300.0,bad sector
1995-08-18,292.5,bad sector
1995-08-25,277.5,bad sector
1995-09-01,255.0,bad sector
1995-09-08,285.0,bad sector
1995-09-15,285.0,bad sector
1995-09-22,300.0,bad sector
1995-09-29,285.0,bad sector
1995-10-06,255.0,bad sector
1995-10-13,270.0,bad sector
1995-10-20,270.0,bad sector
1995-10-27,300.0,bad sector
1995-11-03,277.5,bad sector
1995-11-10,247.5,bad sector
1995-11-17,270.0,bad sector
1995-11-24,240.0,bad sector
1995-12-01,240.0,bad sector
1995-12-08,232.5,bad sector
1995-12-15,240.0,bad sector
1995-12-22,240.0,bad sector
1995-12-29,327.1875,bad sector
1996-01-05,330.0,bad sector
1996-01-12,457.5,bad sector
1996-01-19,615.0,bad sector
1996-01-26,757.5,bad sector
1996-02-02,813.75,bad sector
1996-02-09,1023.75,bad sector
1996-02-16,990.0,bad sector
1996-02-23,937.5,bad sector
1996-03-01,1117.5,bad sector
1996-03-08,937.5,bad sector
1996-03-15,975.0,bad sector
1996-03-22,982.5,bad sector
1996-03-29,1001.25,bad sector
1996-04-12,922.5,bad sector
1996-04-19,975.0,bad sector
1996-04-26,1012.5,bad sector
1996-05-03,1005.0,bad sector
1996-05-10,1200.0,bad sector
1996-05-17,1470.0,bad sector
1996-05-24,1417.5,bad sector
1996-05-31,1252.5,bad sector
1996-06-07,1222.5,bad sector
1996-06-14,1200.0,bad sector
1996-06-21,1140.0,bad sector
1996-06-28,1110.0,bad sector
1996-07-05,1050.0,bad sector
1996-07-12,1020.0,bad sector
1996-07-19,1020.0,bad sector
1996-07-26,967.5,bad sector
1996-08-02,1200.0,bad sector
1996-08-09,1162.5,bad sector
1996-08-16,1155.0,bad sector
1996-08-23,1005.0,bad sector
1996-08-30,982.5,bad sector
1996-09-06,990.0,bad sector
1996-09-13,945.0,bad sector
1996-09-20,1087.5,bad sector
1996-09-27,1005.0,bad sector
1996-10-04,982.5,bad sector
1996-10-11,997.5,bad sector
1996-10-18,945.0,bad sector
1996-10-25,960.0,bad sector
1996-11-01,975.0,bad sector
1996-11-08,945.0,bad sector
1996-11-15,855.0,bad sector
1996-11-22,840.0,bad sector
1996-11-29,817.5,bad sector
1996-12-06,802.5,bad sector
