Date,Close,Volume
1995-01-06,17.5,195800
1995-01-13,18.75,141300
1995-01-20,18.75,111400
1995-01-27,18.375,109100
1995-02-03,18.75,21600
1995-02-10,18.75,103700
1995-02-17,18.5,128600
1995-02-24,18.75,20300
1995-03-03,18.5,949200
1995-03-10,18.75,44000
1995-03-17,19.125,84600
1995-03-24,18.875,32100
1995-03-31,19.125,99600
1995-04-07,19.875,21200
1995-04-14,20.125,9600
1995-04-21,19.625,63000
1995-04-28,20.75,173300
1995-05-05,20.875,62300
1995-05-12,21.375,49000
1995-05-19,21.75,47100
1995-05-26,21.25,19300
1995-06-02,21.0,107000
1995-06-09,21.125,37700
1995-06-16,20.75,20800
1995-06-23,20.0,90700
1995-06-30,20.0,54000
1995-07-07,20.0,61900
1995-07-14,19.75,632100
1995-07-21,19.5,134500
1995-07-28,20.125,72200
1995-08-04,20.0,54300
1995-08-11,19.5,37500
1995-08-18,19.625,163200
1995-08-25,18.75,175200
1995-09-01,18.875,435000
1995-09-08,18.625,37000
1995-09-15,19.375,201300
1995-09-22,19.75,131400
1995-09-29,19.625,26400
1995-10-06,19.375,44200
1995-10-13,19.875,125700
1995-10-20,20.0,239000
1995-10-27,19.25,185000
1995-11-03,19.625,115400
1995-11-10,20.0,286800
1995-11-17,20.25,67100
1995-11-24,19.75,53400
1995-12-01,20.25,27300
1995-12-08,21.375,88800
1995-12-15,22.0,43900
1995-12-22,21.375,128000
1995-12-29,20.625,24400
1996-01-05,20.5,251100
1996-01-12,21.25,25000
1996-01-19,20.375,91400
1996-01-26,20.875,171200
1996-02-02,22.0,55800
1996-02-09,22.75,45600
1996-02-16,23.25,70700
1996-02-23,22.75,36300
1996-03-01,22.375,44800
1996-03-08,21.875,374300
1996-03-15,22.375,113900
1996-03-22,22.5,42900
1996-03-29,22.75,362400
1996-04-05,22.75,77300
1996-04-12,22.0,192200
1996-04-19,21.75,76300
1996-04-26,22.25,66600
1996-05-03,23.125,59600
1996-05-10,24.375,68300
1996-05-17,24.0,55300
1996-05-24,24.5,15800
1996-05-31,24.125,29200
1996-06-07,24.0,207400
1996-06-14,24.125,14800
1996-06-21,24.125,27700
1996-06-28,24.25,219900
1996-07-05,24.75,33400
1996-07-12,23.875,50600
1996-07-19,22.625,59800
1996-07-26,23.125,41100
