Date,Close,Volume
1995-01-06,3.65625,1426000
1995-01-13,3.75,2665600
1995-01-20,3.875,3162000
1995-01-27,4.15625,3137200
1995-02-03,3.8125,2468400
1995-02-10,3.8125,3172400
1995-02-17,3.71875,1539600
1995-02-24,3.75,1110000
1995-03-03,3.6875,1045600
1995-03-10,3.46875,2722400
1995-03-17,3.4375,2532000
1995-03-24,3.6875,4114400
1995-03-31,3.96875,5018800
1995-04-07,4.09375,3174000
1995-04-14,3.78125,1733200
1995-04-21,4.03125,3484400
1995-04-28,4.28125,3196800
1995-05-05,4.15625,2810000
1995-05-12,4.15625,1446000
1995-05-19,4.09375,1920000
1995-05-26,4.09375,1137200
1995-06-02,4.0,845200
1995-06-09,4.09375,1290000
1995-06-16,4.34375,2479600
1995-06-23,4.5625,11535200
1995-06-30,4.5625,3295200
1995-07-07,4.71875,2118000
1995-07-14,4.84375,3865600
1995-07-21,4.875,3874000
1995-07-28,4.90625,3223200
1995-08-04,4.78125,2938400
1995-08-11,4.625,1764400
1995-08-18,4.71875,1967600
1995-08-25,4.96875,3489200
1995-09-01,4.90625,3804800
1995-09-08,4.96875,4844800
1995-09-15,4.125,11802000
1995-09-22,3.84375,3953200
1995-09-29,3.9375,6088400
1995-10-06,3.875,3026000
1995-10-13,3.875,1040800
1995-10-20,3.46875,3634800
1995-10-27,3.53125,5856400
1995-11-03,3.90625,3879200
1995-11-10,3.90625,1702400
1995-11-17,4.21875,3176400
1995-11-24,4.46875,4207200
1995-12-01,4.53125,4074000
1995-12-08,4.4375,3068800
1995-12-15,4.5,2281600
1995-12-22,4.28125,2698400
1995-12-29,4.0625,4091200
1996-01-05,4.28125,3395200
1996-01-12,4.1875,2906800
1996-01-19,4.28125,2054000
1996-01-26,4.78125,4149600
1996-02-02,5.03125,9965600
1996-02-09,5.125,6540000
1996-02-16,5.0,3108000
1996-02-23,5.28125,3640000
1996-03-01,5.46875,6182800
1996-03-08,5.625,11807600
1996-03-15,6.40625,13963600
1996-03-22,6.6875,6885600
1996-03-29,6.6875,3781200
1996-04-05,7.5,10830400
1996-04-12,7.125,5728400
1996-04-19,7.4375,3489600
1996-04-26,6.46875,8161600
1996-05-03,6.375,6172800
1996-05-10,6.8125,5928400
1996-05-17,7.0625,4603600
1996-05-24,6.9375,2134800
1996-05-31,6.5,1229600
1996-06-07,6.96875,2992000
1996-06-14,7.0,2922800
1996-06-21,6.96875,1691200
1996-06-28,6.84375,1786800
1996-07-05,6.71875,754800
1996-07-12,6.1875,2531200
1996-07-19,6.1875,5379600
1996-07-26,5.78125,3651600
1996-08-02,6.0,2310000
1996-08-09,5.96875,2478800
1996-08-16,5.65625,3424800
1996-08-23,5.46875,8858800
1996-08-30,5.28125,5526400
1996-09-06,5.25,2024800
1996-09-13,4.875,11979600
1996-09-20,5.03125,8710800
1996-09-27,5.15625,7077200
1996-10-04,5.4375,4209600
1996-10-11,5.34375,3471200
1996-10-18,5.1875,3228000
1996-10-25,5.375,3306800
1996-11-01,5.4375,2150400
1996-11-08,5.625,2908800
1996-11-15,5.71875,2893200
1996-11-22,6.125,3935200
1996-11-29,6.03125,2444800
1996-12-06,6.03125,2188400
1996-12-13,5.6875,4050000
1996-12-20,5.625,2830000
1996-12-27,5.53125,1440800
1997-01-03,5.3125,3140800
1997-01-10,5.3125,4256400
1997-01-17,5.5,6260400
1997-01-24,5.40625,4909600
1997-01-31,5.40625,3024800
1997-02-07,5.5625,3877600
1997-02-14,5.90625,5016800
1997-02-21,6.03125,3015200
1997-02-28,5.9375,4034000
1997-03-07,6.1875,6274000
1997-03-14,6.625,6834800
1997-03-21,6.75,5419600
1997-03-28,6.40625,2917600
